names,GK vs. WKY
Pdk1_Pdha1,3.405132
Msmo1_Agmo,3.405132
Pnkp_Lig4,3.405132
Enpp1_Coasy,3.405132
Mapk9_Dusp5,3.405132
Mnat1_Cdk7,3.405132
Ptpn6_Ifngr1,3.3941832
Uckl1_Enpp1,3.3832343
Ppib_Pdia6,3.3832343
Slc25a17_Abcd3,3.3832343
Papolg_Cpsf4,3.3832343
Wdr12_Gnl3l,3.3722851
Pdha1_Bckdhb,3.3722851
Mnat1_Ercc2,3.3613362
Taf10_Kxd1,3.3613362
Snx5_Ap3s1,3.3613362
Pccb_Bckdhb,3.3503873
Ints3_Ints1,3.3503873
Commd9_Commd6,3.3503873
Utp4_Rrp9,3.3503873
Tp53_Mdm4,3.3503873
Mnat1_Cdk6,3.3394382
Enpp1_Acp2,3.3394382
Nt5e_Enpp1,3.3394382
Kyat3_Aadat,3.3284893
Rapgef5_Rap1b,3.3284893
Upp1_Adk,3.3284893
Uxt_Pfdn6,3.3175404
Entpd8_Enpp1,3.3175404
Slc3a2_Bsg,3.3175404
Vegfa_Angpt2,3.3175404
Pcf11_Cpsf4,3.3065913
Atf6_Atf4,3.3065913
Taf10_Supt3h,3.3065913
Enpp1_Ampd2,3.3065913
Aldh3a2_Abcd2,3.2956424
Umps_Enpp1,3.2956424
Qdpr_Pah,3.2956424
Polr2j_Med7,3.2956424
Orc5_Orc1,3.2956424
Ptgs1_Cyp2j4,3.2846935
Ntpcr_Ak6,3.2846935
Mnat1_Ccnk,3.2846935
Orc5_Mcm5,3.2846935
Ttc37_Exosc5,3.2846935
Mnat1_Ccne1,3.2846935
Galm_Akr1b10,3.2737443
Rragc_Prkab1,3.2737443
Vps29_Shmt2,3.2737443
Nup93_Cpsf4,3.2737443
Hbz_Creb1,3.2737443
Taf6l_Taf10,3.2737443
Epor_Emp1,3.2737443
Gria1_Ap2s1,3.2737443
Ercc8_Ddb2,3.2627954
Phax_Ncbp2,3.2627954
Cspg4_B3galt6,3.2627954
Utp4_Aatf,3.2627954
Hibadh_Aldh7a1,3.2627954
Enpp1_Alpl,3.2627954
Hyou1_Dnajc3,3.2518466
Orc5_Mcm10,3.2518466
Supt16h_Cdc73,3.2408974
Rragd_Prkag2,3.2299485
Scd_Elovl6,3.2299485
Mark3_Camk2a,3.2299485
Utp4_Nol10,3.2299485
Ddx55_Ddx51,3.2189996
Lgi1_Adam23,3.2189996
Ddit3_Atf4,3.2189996
Utp4_Dimt1,3.2080505
Mrps16_Mrpl27,3.2080505
Rragc_Mlst8,3.2080505
Mtpn_Capzb,3.2080505
Sort1_Ntsr1,3.2080505
Utp4_Tbl3,3.2080505
Faxdc2_Agmo,3.2080505
Ugp2_Galk1,3.2080505
Cdk9_Cdc37,3.2080505
Vegfb_Nrp1,3.1971016
Mmp24_Furin,3.1971016
Stx17_Cnih2,3.1861527
Taf6_Taf10,3.1861527
Gmpr2_Enpp1,3.1861527
Gamt_Ckm,3.1861527
Oasl_Irf7,3.1752036
Mrpl28_Mrpl1,3.1752036
Exosc5_Exosc2,3.1752036
Rheb_Prkaa2,3.1752036
Tapbp_Sec22b,3.1752036
Utp4_Nob1,3.1642547
Tal1_Mnat1,3.1642547
Mrps22_Mrps16,3.1642547
Ssrp1_Cdc73,3.1642547
Utp4_Dcaf13,3.1642547
Creb3l4_Atf4,3.1533058
Lamtor4_Fnip2,3.1533058
Mmp24_Mmp17,3.1533058
Nup107_Cpsf4,3.1533058
Minpp1_Itpk1,3.1423566
Pom121_Cpsf4,3.1423566
Neu1_Gla,3.1423566
Orc5_Lrwd1,3.1423566
Tpr_Cpsf4,3.1423566
Mnat1_Gtf2h3,3.1314077
Supt16h_Csnk2a1,3.1314077
Taf12_Kat2b,3.1314077
Mnat1_Gtf2e1,3.1314077
Gtf2h1_Ccnh,3.1314077
Lman2l_Csnk1d,3.1314077
Mphosph6_Exosc5,3.1314077
Minpp1_Ipmk,3.1314077
Rbp4_Ces5a,3.1314077
Vps29_Snx32,3.1204588
RragB_Lamtor4,3.1204588
Polr2j_Cdc73,3.1204588
Hibadh_Acads,3.1204588
Pex5_Abcd3,3.1095097
Rragc_Prkag2,3.1095097
Mnat1_Ercc3,3.1095097
Vps29_Shmt1,3.1095097
Pa2g4_Gtpbp4,3.1095097
Mtpn_Add1,3.1095097
Jak1_Epor,3.1095097
Utp4_Nip7,3.1095097
Drd2_Comt,3.1095097
Tle4_Tcf4,3.0985608
Xrcc6_Poll,3.0985608
Usp14_Psmb8,3.0985608
Pdhb_Bckdhb,3.087612
Pxmp2_Gdap1,3.087612
RT1-CE16_B2m,3.0766628
Ostc_Krtcap2,3.0766628
Ntpcr_Nme1,3.065714
Tm7sf2_Sigmar1,3.065714
Pex14_Abcd3,3.065714
Gmps_Gart,3.065714
Ncbp2_Mettl14,3.065714
Timmdc1_Ndufaf4,3.065714
Gdap1_Fis1,3.065714
Nupl2_Cpsf4,3.065714
Uxt_Polr2e,3.054765
Pole4_Mcm2,3.054765
Crtc1_Creb1,3.054765
Txndc5_Ctsz,3.054765
Crebbp_Atf4,3.054765
Prkcq_Pdpk1,3.054765
Rfc3_Orc5,3.0438159
Notch2_Dll4,3.0438159
Mrpl43_Mrpl1,3.0438159
Atf4_Atf2,3.0438159
Rrm1_Ntpcr,3.0438159
Prkca_Ap2s1,3.0438159
Eif3l_Eif3a,3.032867
Sox10_Ednrb,3.032867
Phlpp1_Akt2,3.032867
Psmf1_Gmnn,3.032867
Ppib_Dnajb11,3.032867
Timmdc1_Cox7a2l,3.032867
Ube2o_Uba1,3.032867
Utp4_Rrp7a,3.0219178
